model_id,strategy,family,n_samples,consensus_cer,consensus_field_accuracy,average_raw_confidence,total_evaluated_fields,total_sample_records,denominator_status,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,warp_all_d003_r30_s10_std15,grid_warp,2,0.084261457002008405,0.73754828217117296,0.95947450294641856,4919,9837,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std15,grid_warp,3,0.070233095977116425,0.77129497865419805,0.95794146474267083,4919,14755,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std15,grid_warp,4,0.069872847843280406,0.76991869918699185,0.95423022377823996,4920,19674,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std15,grid_warp,5,0.066030836735937598,0.78033387622149841,0.95420205002298564,4912,24552,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std2,grid_warp,1,0.088565602459141121,0.73627490849939004,1,4918,4918,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std2,grid_warp,2,0.089830199014058795,0.72555397438503766,0.95497444100286877,4919,9837,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std2,grid_warp,3,0.073367415251658449,0.76438300467574716,0.95308699597713964,4919,14756,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std2,grid_warp,4,0.072515367293530517,0.76072372433421431,0.94834337939446722,4919,19675,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std2,grid_warp,5,0.068285557787109735,0.77576743240496038,0.94839705085064452,4919,24594,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std3,grid_warp,1,0.10069381048018988,0.72006505387273834,1,4919,4919,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std3,grid_warp,2,0.10163714929097438,0.7094937995527546,0.94118320108052544,4919,9836,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std3,grid_warp,3,0.078449272716207163,0.75909737751575523,0.93894774260775082,4919,14754,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
