doc_id,relative_filename,byte_size,sha256,source_role
41381_2321306652_0611-02829,41381_2321306652_0611-02829.jpg,908472,e200465452bd127d682a02f5109e8a35330fdd5bf36f5f7d1ba65a74d0e8e209,source_document_jpeg
41381_2321306652_0616-02545,41381_2321306652_0616-02545.jpg,1064614,8a2062e5210349292c63b0206e6079147442bf3759bfdc85a9ccaf30fe1e8c64,source_document_jpeg
41381_2321306652_0621-01129,41381_2321306652_0621-01129.jpg,1071794,8bb25373a3267b00f9afb042ca4444847baefccf8b2f58c69485b0c8c6c3859c,source_document_jpeg
41381_2321306652_0623-00750,41381_2321306652_0623-00750.jpg,1075516,f4e1896f8bca483d20976a568e69680e2f78b0d7a54275b4399e90b62a9d4422,source_document_jpeg
41381_2321306652_0623-00912,41381_2321306652_0623-00912.jpg,899659,b27e39aae8576925d0990a40c248c77db20bde34e6d7d42e8d6f6dbe1f425657,source_document_jpeg
41381_2321306652_0623-02235,41381_2321306652_0623-02235.jpg,876079,3cfa9f66a2a5e3c53550ca56e244e332fe5cd906708ad855cd52489252847698,source_document_jpeg
41381_2321306652_0624-00080,41381_2321306652_0624-00080.jpg,1021911,c7ca21625acdc883cf81abcecc0bf34b311bbe12fb41bf6659d22a1b92929336,source_document_jpeg
41381_2321306652_0624-02871,41381_2321306652_0624-02871.jpg,891658,8e9fae7bdfef97e801d5e32deedfae12e8cf7cba395587323869d5f9bdc3e7a8,source_document_jpeg
41381_2321306652_0626-01464,41381_2321306652_0626-01464.jpg,985215,faea1af3c8fc304f470033a9d1ac1bb911f2eb3be60bc31aee869e7ea941b711,source_document_jpeg
41381_2321306652_0628-02683,41381_2321306652_0628-02683.jpg,966999,4fcd51def60e7012b3eea1ae2449b684abc6c7b225de9b26882a35e2c85b8766,source_document_jpeg
41381_2321306652_0630-00216,41381_2321306652_0630-00216.jpg,1210772,35de77673c1431ba846d32a2249f1a3c6074c45ff540fcaef12efae32e768b98,source_document_jpeg
41381_2321306652_0633-00764,41381_2321306652_0633-00764.jpg,888124,82ed01bb078880dc0e46ab35b90cbc176f7739517b9951663ced52321036b3fc,source_document_jpeg
41381_2321306652_0633-02506,41381_2321306652_0633-02506.jpg,858819,a66c78ba9c0127dbd4f640193837c14b3734d417be39ddef8ceb107d954d283e,source_document_jpeg
41381_2421401574_0575-00205,41381_2421401574_0575-00205.jpg,1306569,2f4e7d9eaa4603a5d75585e8c0546e2e3d1cf01dd9e776f34947b569093411ec,source_document_jpeg
41381_2421401574_0575-01734,41381_2421401574_0575-01734.jpg,1371850,c8c2e19287fb5a024d5f33a859aa2d2d815d6e668cf6445f92f06ab9901a8280,source_document_jpeg
41381_2421401574_0575-02391,41381_2421401574_0575-02391.jpg,1318666,f60f4c52467ab2290068a4e373aaac344178f65fa6c1512abd197d0bf4a18f9a,source_document_jpeg
